Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000005021,23.0,2.079969115185719e-17,1.128716230392456,0.0064645702855274,0.1210809075982642,22.0,1.474593608539545e-17,0.9203884601593018,0.0011928094109586,-0.0829594587533917
instance_0000005041,22.0,4.1766629781298404e-18,1.1161563396453855,0.0011821961160615,0.1098909434355112,22.0,3.272803474204019e-18,1.189697265625,0.0006275317636397,0.1736988761241624
instance_0000005011,23.0,1.3420455805252058e-17,1.0974984169006348,0.0038871125646736,0.0930334235065907,22.0,1.0709862337882645e-17,0.9594485759735109,0.0006773416286751,-0.0413965595787428
instance_0000005028,23.0,1.9425015785457608e-17,1.192096471786499,0.0067485627041219,0.1757134980750777,22.0,1.5047159250071204e-17,0.9600427150726318,0.0014719304563965,-0.0407775006427975
instance_0000005070,22.0,1.1677290633138957e-17,1.0604772567749023,0.003649999914334,0.0587190490358259,22.0,9.083081020414025e-18,0.9417519569396972,0.0007791756600827,-0.0600133544299876
instance_0000005001,22.0,4.0534997555424256e-18,1.135791301727295,0.0011246912318646,0.1273295901533837,22.0,3.380069046658412e-18,0.8841991424560547,0.0004821018776182,-0.1230729674433771
instance_0000005083,23.0,1.8804960255888037e-17,1.091301202774048,0.0066802769459058,0.0873707482842405,22.0,1.420633032517122e-17,1.3623414039611816,0.0016548564850422,0.3092048400177321
instance_0000005056,23.0,9.511062865879437e-18,1.098041534423828,0.0028198987038278,0.0935281697160087,22.0,8.472875049905469e-18,1.040302038192749,0.0005978056730484,0.0395110923283493
instance_0000005035,23.0,1.362007190167924e-17,1.108814001083374,0.0041466284254584,0.103290976613474,22.0,1.0301266698399116e-17,1.1630640029907229,0.0009205000750192,0.1510579046884273
instance_0000005061,23.0,3.323509220519653e-18,1.0537309646606443,0.0009479463252527,0.0523371657917802,23.0,2.977742075078753e-18,0.9744961261749268,0.0005136138001181,-0.0258347352349041
instance_0000005043,23.0,2.6109718340165028e-17,1.0958354473114014,0.0083106108286697,0.0915170379393738,22.0,1.8537310410788256e-17,0.9425806999206544,0.0021017985626778,-0.0591337400674445
instance_0000005066,23.0,2.4866192270248122e-17,1.1031756401062012,0.0093549463255469,0.0981929661311558,22.0,2.1481940529738638e-17,0.9019575119018556,0.0020704657268887,-0.1031878643506247
instance_0000005025,22.0,1.4202371988089894e-17,1.0858922004699707,0.0046026038677524,0.0824019536658584,22.0,1.1732614238645521e-17,1.0779895782470703,0.0010752822678178,0.0750978047657413
instance_0000005069,23.0,2.3242092215732727e-17,1.2730271816253662,0.0082213932446072,0.2413976717631513,22.0,1.6851094028294944e-17,0.9597866535186768,0.001335569419757,-0.041044255136361
instance_0000005033,23.0,3.0744996713888104e-17,1.113067388534546,0.0124225330644587,0.1071196172121407,22.0,2.5695171173756345e-17,1.177424430847168,0.0024317769776632,0.1633293672244781
instance_0000005017,23.0,3.719671387379756e-18,1.1009786128997805,0.0009611444151061,0.096199432392726,22.0,3.0388089841218106e-18,1.0128533840179443,0.0004903682568142,0.0127714803570989
instance_0000005022,23.0,1.2585290886911794e-17,1.1753160953521729,0.0039734953159461,0.1615371287384492,22.0,9.349036654810504e-18,1.1554880142211914,0.0007160924039791,0.1445227778712234
instance_0000005009,23.0,1.6080055541256803e-17,1.054844617843628,0.004754897211725,0.0533934744162127,22.0,1.3264943436437273e-17,0.893953800201416,0.0012346095991548,-0.1121011827710089
